Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-median_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
SRR8315174	5.318187816841842	40.0	75.10153642035776	76	10.0	20304990.0
SRR8315175	5.8057356925937995	40.0	75.05335182287139	76	10.0	23312643.0
SRR8315176	5.24167414389531	41.0	75.1076785569198	76	10.0	16701719.0
SRR8315177	5.849576021568964	41.0	74.99779947995732	76	10.0	20618308.0
SRR8315178	5.817020587737929	40.0	75.0126903355249	76	10.0	21273354.0
SRR8315179	5.336752838917576	41.0	75.11068393893497	76	10.0	21207946.0
SRR8315180	6.372959456195517	41.0	75.05368972525307	76	10.0	19871195.0
SRR8315181	6.599140212541059	41.0	74.95532182073525	76	10.0	21393665.0
SRR8315182	6.956801930051299	41.0	74.92543816634374	76	10.0	21524645.0
SRR8315183	6.532993479026686	41.0	74.82671549405347	76	10.0	19702604.0
SRR8315184	6.8878216422360055	41.0	74.97752383454541	76	10.0	22258868.0
SRR8315185	6.715174116211372	41.0	74.9854252175742	76	10.0	21989625.0
SRR8315186	7.541234370204293	50.0	75.32946408705678	76	10.0	18193552.0
SRR8315187	8.314991221120977	50.0	75.33136838434696	76	10.0	21347628.0
SRR8315188	9.123487270264746	51.0	74.97825915130328	76	10.0	20268206.0
SRR8315189	9.011568801130906	51.0	75.0031886082746	76	10.0	20356530.0
SRR8315190	8.508069834305275	51.0	75.36657488571576	76	10.0	22174536.0
SRR8315191	8.062579967285345	51.0	75.35366740562392	76	10.0	19493685.0
SRR8315192	5.422348811129652	40.0	75.14611023074967	76	10.0	23022741.0
