Module	Section	Sample Name	Source
FastQC	all_sections	SRR8315176	/hpcfs/users/a1018048/PRJNA509779/docs/qc/raw/SRR8315176_fastqc.zip
FastQC	all_sections	SRR8315181	/hpcfs/users/a1018048/PRJNA509779/docs/qc/raw/SRR8315181_fastqc.zip
FastQC	all_sections	SRR8315185	/hpcfs/users/a1018048/PRJNA509779/docs/qc/raw/SRR8315185_fastqc.zip
FastQC	all_sections	SRR8315188	/hpcfs/users/a1018048/PRJNA509779/docs/qc/raw/SRR8315188_fastqc.zip
FastQC	all_sections	SRR8315180	/hpcfs/users/a1018048/PRJNA509779/docs/qc/raw/SRR8315180_fastqc.zip
FastQC	all_sections	SRR8315178	/hpcfs/users/a1018048/PRJNA509779/docs/qc/raw/SRR8315178_fastqc.zip
FastQC	all_sections	SRR8315187	/hpcfs/users/a1018048/PRJNA509779/docs/qc/raw/SRR8315187_fastqc.zip
FastQC	all_sections	SRR8315179	/hpcfs/users/a1018048/PRJNA509779/docs/qc/raw/SRR8315179_fastqc.zip
FastQC	all_sections	SRR8315183	/hpcfs/users/a1018048/PRJNA509779/docs/qc/raw/SRR8315183_fastqc.zip
FastQC	all_sections	SRR8315186	/hpcfs/users/a1018048/PRJNA509779/docs/qc/raw/SRR8315186_fastqc.zip
FastQC	all_sections	SRR8315189	/hpcfs/users/a1018048/PRJNA509779/docs/qc/raw/SRR8315189_fastqc.zip
FastQC	all_sections	SRR8315174	/hpcfs/users/a1018048/PRJNA509779/docs/qc/raw/SRR8315174_fastqc.zip
FastQC	all_sections	SRR8315182	/hpcfs/users/a1018048/PRJNA509779/docs/qc/raw/SRR8315182_fastqc.zip
FastQC	all_sections	SRR8315190	/hpcfs/users/a1018048/PRJNA509779/docs/qc/raw/SRR8315190_fastqc.zip
FastQC	all_sections	SRR8315191	/hpcfs/users/a1018048/PRJNA509779/docs/qc/raw/SRR8315191_fastqc.zip
FastQC	all_sections	SRR8315175	/hpcfs/users/a1018048/PRJNA509779/docs/qc/raw/SRR8315175_fastqc.zip
FastQC	all_sections	SRR8315177	/hpcfs/users/a1018048/PRJNA509779/docs/qc/raw/SRR8315177_fastqc.zip
FastQC	all_sections	SRR8315184	/hpcfs/users/a1018048/PRJNA509779/docs/qc/raw/SRR8315184_fastqc.zip
FastQC	all_sections	SRR8315192	/hpcfs/users/a1018048/PRJNA509779/docs/qc/raw/SRR8315192_fastqc.zip
