Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-median_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
SRR8315174	4.98997989991588	40.0	74.63064195811044	75	10.0	19380439.0
SRR8315175	5.3387965258072825	40.0	74.6512504186858	75	10.0	22221317.0
SRR8315176	4.888976210258704	40.0	74.64919931590039	75	10.0	15933937.0
SRR8315177	5.199910955969742	40.0	74.65344369890336	75	10.0	19616625.0
SRR8315178	5.121463157842513	40.0	74.69436468673698	75	10.0	20232806.0
SRR8315179	5.016202488928371	40.0	74.64229960274787	75	10.0	20239287.0
SRR8315180	5.9996313914003	41.0	74.60110719646555	75	10.0	18942257.0
SRR8315181	5.968134246026381	41.0	74.61322953712639	75	10.0	20338187.0
SRR8315182	6.238527018256832	41.0	74.60746170577454	75	10.0	20454063.0
SRR8315183	5.758938837212881	41.0	74.57095814817342	75	10.0	18683175.0
SRR8315184	6.232639937302764	41.0	74.63295248329185	75	10.0	21167649.0
SRR8315185	6.053515321874059	41.0	74.642457348493	75	10.0	20910750.0
SRR8315186	7.193894383458627	50.0	74.65052969249028	75	10.0	17256333.0
SRR8315187	8.029364379269026	50.0	74.66049775600183	75	10.0	20250685.0
SRR8315188	8.057941191277706	51.0	74.6325726286715	75	10.0	19046507.0
SRR8315189	7.891684880198909	50.0	74.65278041419677	75	10.0	19144234.0
SRR8315190	8.16211954730261	50.0	74.68482638239007	75	10.0	21034819.0
SRR8315191	7.774065233234012	50.0	74.6681016919144	75	10.0	18491893.0
SRR8315192	5.217946462416563	39.0	74.63660605815168	75	10.0	22026223.0
