Module	Section	Sample Name	Source
FastQC	all_sections	SRR8315189	/Users/stevieped/DRMCRL/PRJNA509779/docs/qc/trimmed/SRR8315189_fastqc.zip
FastQC	all_sections	SRR8315181	/Users/stevieped/DRMCRL/PRJNA509779/docs/qc/trimmed/SRR8315181_fastqc.zip
FastQC	all_sections	SRR8315176	/Users/stevieped/DRMCRL/PRJNA509779/docs/qc/trimmed/SRR8315176_fastqc.zip
FastQC	all_sections	SRR8315179	/Users/stevieped/DRMCRL/PRJNA509779/docs/qc/trimmed/SRR8315179_fastqc.zip
FastQC	all_sections	SRR8315178	/Users/stevieped/DRMCRL/PRJNA509779/docs/qc/trimmed/SRR8315178_fastqc.zip
FastQC	all_sections	SRR8315191	/Users/stevieped/DRMCRL/PRJNA509779/docs/qc/trimmed/SRR8315191_fastqc.zip
FastQC	all_sections	SRR8315177	/Users/stevieped/DRMCRL/PRJNA509779/docs/qc/trimmed/SRR8315177_fastqc.zip
FastQC	all_sections	SRR8315180	/Users/stevieped/DRMCRL/PRJNA509779/docs/qc/trimmed/SRR8315180_fastqc.zip
FastQC	all_sections	SRR8315184	/Users/stevieped/DRMCRL/PRJNA509779/docs/qc/trimmed/SRR8315184_fastqc.zip
FastQC	all_sections	SRR8315186	/Users/stevieped/DRMCRL/PRJNA509779/docs/qc/trimmed/SRR8315186_fastqc.zip
FastQC	all_sections	SRR8315183	/Users/stevieped/DRMCRL/PRJNA509779/docs/qc/trimmed/SRR8315183_fastqc.zip
FastQC	all_sections	SRR8315185	/Users/stevieped/DRMCRL/PRJNA509779/docs/qc/trimmed/SRR8315185_fastqc.zip
FastQC	all_sections	SRR8315187	/Users/stevieped/DRMCRL/PRJNA509779/docs/qc/trimmed/SRR8315187_fastqc.zip
FastQC	all_sections	SRR8315175	/Users/stevieped/DRMCRL/PRJNA509779/docs/qc/trimmed/SRR8315175_fastqc.zip
FastQC	all_sections	SRR8315182	/Users/stevieped/DRMCRL/PRJNA509779/docs/qc/trimmed/SRR8315182_fastqc.zip
FastQC	all_sections	SRR8315190	/Users/stevieped/DRMCRL/PRJNA509779/docs/qc/trimmed/SRR8315190_fastqc.zip
FastQC	all_sections	SRR8315188	/Users/stevieped/DRMCRL/PRJNA509779/docs/qc/trimmed/SRR8315188_fastqc.zip
FastQC	all_sections	SRR8315174	/Users/stevieped/DRMCRL/PRJNA509779/docs/qc/trimmed/SRR8315174_fastqc.zip
FastQC	all_sections	SRR8315192	/Users/stevieped/DRMCRL/PRJNA509779/docs/qc/trimmed/SRR8315192_fastqc.zip
